# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.847350411679e-01       5.411129270708e+02 
       3.879619499272e-01       5.325104479141e+02 
       3.911888590481e-01       5.239555271959e+02 
       3.944157685218e-01       5.154372799248e+02 
       3.976426783395e-01       5.069525580302e+02 
       4.008695884930e-01       4.985082270730e+02 
       4.040964989743e-01       4.901269702038e+02 
       4.073234097754e-01       4.818419460808e+02 
       4.105503208887e-01       4.736924605951e+02 
       4.137772323071e-01       4.657160321449e+02 
       4.170041440233e-01       4.579471870151e+02 
       4.202310560305e-01       4.504087700313e+02 
       4.234579683219e-01       4.431101799921e+02 
       4.266848808912e-01       4.360564564456e+02 
       4.299117937320e-01       4.292381188429e+02 
       4.331387068383e-01       4.226441943767e+02 
       4.363656202041e-01       4.162652739637e+02 
       4.395925338237e-01       4.100830578627e+02 
       4.428194476915e-01       4.040792182511e+02 
       4.460463618021e-01       3.982276129034e+02 
       4.492732761504e-01       3.925011740828e+02 
       4.525001907311e-01       3.868785281541e+02 
       4.557271055393e-01       3.813372974796e+02 
       4.589540205702e-01       3.758617105360e+02 
       4.621809358191e-01       3.704463331627e+02 
       4.654078512815e-01       3.650895742096e+02 
       4.686347669529e-01       3.597999052428e+02 
       4.718616828291e-01       3.545762102839e+02 
       4.750885989059e-01       3.494299428440e+02 
       4.783155151791e-01       3.443637481316e+02 
       4.815424316448e-01       3.393883991310e+02 
       4.847693482992e-01       3.345132485274e+02 
       4.879962651385e-01       3.297504743024e+02 
       4.912231821591e-01       3.251048310115e+02 
       4.944500993573e-01       3.205841567583e+02 
       4.976770167298e-01       3.161843168753e+02 
       5.009039342731e-01       3.119004134045e+02 
       5.041308519840e-01       3.077216229643e+02 
       5.073577698592e-01       3.036385223402e+02 
       5.105846878956e-01       2.996409372400e+02 
       5.138116060902e-01       2.957208176984e+02 
       5.170385244400e-01       2.918708276790e+02 
       5.202654429422e-01       2.880846881573e+02 
       5.234923615938e-01       2.843575824750e+02 
       5.267192803921e-01       2.806817078644e+02 
       5.299461993344e-01       2.770553917487e+02 
       5.331731184182e-01       2.734764968368e+02 
       5.364000376409e-01       2.699449026410e+02 
       5.396269569998e-01       2.664669769836e+02 
       5.428538764927e-01       2.630465772658e+02 
       5.460807961172e-01       2.596863842911e+02 
       5.493077158708e-01       2.563888434501e+02 
       5.525346357514e-01       2.531541923360e+02 
       5.557615557567e-01       2.499805340494e+02 
       5.589884758846e-01       2.468670114748e+02 
       5.622153961329e-01       2.438135405861e+02 
       5.654423164995e-01       2.408191031123e+02 
       5.686692369826e-01       2.378843308633e+02 
       5.718961575800e-01       2.350073126185e+02 
       5.751230782898e-01       2.321841472388e+02 
       5.783499991102e-01       2.294120045539e+02 
       5.815769200394e-01       2.266859031850e+02 
       5.848038410754e-01       2.240035433058e+02 
       5.880307622166e-01       2.213611446412e+02 
       5.912576834611e-01       2.187601580763e+02 
       5.944846048075e-01       2.161984312270e+02 
       5.977115262538e-01       2.136759838575e+02 
       6.009384477987e-01       2.111919705543e+02 
       6.041653694404e-01       2.087445167390e+02 
       6.073922911775e-01       2.063331328058e+02 
       6.106192130084e-01       2.039562516526e+02 
       6.138461349316e-01       2.016148415445e+02 
       6.170730569457e-01       1.993098482353e+02 
       6.202999790492e-01       1.970437668471e+02 
       6.235269012408e-01       1.948164766698e+02 
       6.267538235191e-01       1.926278647243e+02 
       6.299807458828e-01       1.904762968927e+02 
       6.332076683305e-01       1.883591910237e+02 
       6.364345908610e-01       1.862764320896e+02 
       6.396615134731e-01       1.842263462559e+02 
       6.428884361654e-01       1.822087696409e+02 
       6.461153589368e-01       1.802237780708e+02 
       6.493422817861e-01       1.782703280207e+02 
       6.525692047121e-01       1.763472910591e+02 
       6.557961277137e-01       1.744523471119e+02 
       6.590230507899e-01       1.725839707719e+02 
       6.622499739394e-01       1.707409036412e+02 
       6.654768971613e-01       1.689235133130e+02 
       6.687038204544e-01       1.671318666733e+02 
       6.719307438178e-01       1.653666188570e+02 
       6.751576672505e-01       1.636277471692e+02 
       6.783845907514e-01       1.619149448328e+02 
       6.816115143195e-01       1.602265119466e+02 
       6.848384379540e-01       1.585618267777e+02 
       6.880653616539e-01       1.569204054376e+02 
       6.912922854183e-01       1.553022333477e+02 
       6.945192092462e-01       1.537078732063e+02 
       6.977461331369e-01       1.521377063796e+02 
       7.009730570893e-01       1.505919573597e+02 
       7.041999811027e-01       1.490690540893e+02 
       7.074269051763e-01       1.475681297928e+02 
       7.106538293092e-01       1.460880341459e+02 
       7.138807535005e-01       1.446276777577e+02 
