# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.215360379366e-10       1.497118820209e-13      -5.792358652664e-12       0.000000000000e+00       4.432925581978e-12       7.724965562703e-13      -4.914045752603e-15 
  136       5.261924504053e-10       1.500025277574e-13      -5.839890820956e-12       0.000000000000e+00       4.341623308028e-12       7.603794629553e-13      -4.843651392118e-15 
  137       5.308429789253e-10       1.502268144070e-13      -5.884968804158e-12       0.000000000000e+00       4.252866722935e-12       7.485318372157e-13      -4.773849511765e-15 
  138       5.354863248685e-10       1.503846147929e-13      -5.927530366725e-12       0.000000000000e+00       4.166573904718e-12       7.369497518704e-13      -4.704673105548e-15 
  139       5.401211190830e-10       1.504758798193e-13      -5.967514110625e-12       0.000000000000e+00       4.082648393506e-12       7.256278195003e-13      -4.636151624899e-15 
  140       5.447459203090e-10       1.505006401716e-13      -6.004859512774e-12       0.000000000000e+00       4.000978853812e-12       7.145591561584e-13      -4.568310866224e-15 
  141       5.493592135962e-10       1.504590080182e-13      -6.039506962462e-12       0.000000000000e+00       3.921438736806e-12       7.037353450798e-13      -4.501172858459e-15 
  142       5.539594087194e-10       1.503511787108e-13      -6.071397798786e-12       0.000000000000e+00       3.843885942588e-12       6.931464003922e-13      -4.434755750625e-15 
  143       5.585448385956e-10       1.501774324856e-13      -6.100474348076e-12       0.000000000000e+00       3.768162482461e-12       6.827807308256e-13      -4.369073699377e-15 
  144       5.631138940158e-10       1.499381487207e-13      -6.126680511383e-12       0.000000000000e+00       3.694127589276e-12       6.726276207043e-13      -4.304132227250e-15 
  145       5.676654461529e-10       1.496338467017e-13      -6.149963513203e-12       0.000000000000e+00       3.621761440392e-12       6.626850251991e-13      -4.239914019042e-15 
  146       5.721984628915e-10       1.492651521272e-13      -6.170272397107e-12       0.000000000000e+00       3.551071066013e-12       6.529524781745e-13      -4.176391504867e-15 
  147       5.767118754593e-10       1.488327866703e-13      -6.187557531401e-12       0.000000000000e+00       3.482057675114e-12       6.434286222862e-13      -4.113531126477e-15 
