# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.010345993800e-02       1.496494807519e+04 
       4.030112485210e-02       1.489240237351e+04 
       4.050087783310e-02       1.481986267932e+04 
       4.070280383037e-02       1.474730362472e+04 
       4.090699256916e-02       1.467472833020e+04 
       4.111353890731e-02       1.460215493315e+04 
       4.132254322538e-02       1.452953797183e+04 
       4.153411185426e-02       1.445687917247e+04 
       4.174835754428e-02       1.438418850877e+04 
       4.196539998101e-02       1.431144409489e+04 
       4.218536635301e-02       1.423865757723e+04 
       4.240839197828e-02       1.416579300462e+04 
       4.263462099628e-02       1.409286552118e+04 
       4.286420713423e-02       1.401981722597e+04 
       4.309731455700e-02       1.394670720670e+04 
       4.333411881182e-02       1.387344636546e+04 
       4.357480788048e-02       1.380011230403e+04 
       4.381958335380e-02       1.372660607507e+04 
       4.406866174556e-02       1.365296013917e+04 
       4.432227596589e-02       1.357912655434e+04 
       4.458067697742e-02       1.350511947719e+04 
       4.484413566160e-02       1.343092136861e+04 
       4.511294492738e-02       1.335648230666e+04 
       4.538742210015e-02       1.328180089658e+04 
       4.566791163595e-02       1.320686329525e+04 
       4.595478821419e-02       1.313161765857e+04 
       4.624846027263e-02       1.305603911134e+04 
       4.654937406065e-02       1.298012503604e+04 
       4.685801830220e-02       1.290384031624e+04 
       4.717492957888e-02       1.282714678588e+04 
       4.750069856654e-02       1.274996069432e+04 
       4.783597728775e-02       1.267229092282e+04 
       4.818148757866e-02       1.259408877261e+04 
       4.853803101325e-02       1.251528773427e+04 
       4.890650058467e-02       1.243584206908e+04 
       4.928789451439e-02       1.235566381909e+04 
       4.968333264970e-02       1.227472775427e+04 
       5.009407602417e-02       1.219290754592e+04 
       5.052155030101e-02       1.211014332513e+04 
       5.096737400392e-02       1.202629221227e+04 
       5.143339267606e-02       1.194128887424e+04 
       5.192172040772e-02       1.185495645256e+04 
       5.243479055332e-02       1.176714997889e+04 
       5.297541793516e-02       1.167767352216e+04 
       5.354687541945e-02       1.158628367943e+04 
       5.415298845353e-02       1.149273406877e+04 
       5.479825194868e-02       1.139665711083e+04 
       5.548797469327e-02       1.129765893954e+04 
       5.622845706484e-02       1.119519268552e+04 
       5.702720768215e-02       1.108865747281e+04 
       5.789320277175e-02       1.097711933483e+04 
       5.883718640029e-02       1.085952207256e+04 
       5.987199658258e-02       1.073436478131e+04 
       6.101287511310e-02       1.059971276846e+04 
       6.227766786242e-02       1.045292582145e+04 
       6.368673585642e-02       1.029052486603e+04 
       6.526227383778e-02       1.010794703214e+04 
       6.702661151114e-02       9.899394725199e+03 
       6.899909233839e-02       9.658139747421e+03 
       7.119155738220e-02       9.377202600398e+03 
       7.360352423931e-02       9.051133490615e+03 
       7.621941039388e-02       8.678269272423e+03 
       7.901014361583e-02       8.262859307531e+03 
       8.193916335327e-02       7.815699704217e+03 
       8.496985400445e-02       7.352662238445e+03 
       8.807096711791e-02       6.891949817439e+03 
       9.121872655611e-02       6.450987846437e+03 
       9.439643248959e-02       6.044140970612e+03 
       9.759296860102e-02       5.681385073214e+03 
       1.008011890051e-01       5.367920095001e+03 
       1.040166006171e-01       5.104448536018e+03 
       1.040676959620e-01       5.100653676046e+03 
       1.072364169808e-01       4.887864560610e+03 
       1.104589245710e-01       4.712140279253e+03 
       1.136830750184e-01       4.569183915677e+03 
       1.169082288233e-01       4.449777030086e+03 
       1.201339965306e-01       4.344416640856e+03 
       1.233601411315e-01       4.244136804629e+03 
       1.265865183921e-01       4.141303583682e+03 
       1.298130404833e-01       4.030195953231e+03 
       1.330396538523e-01       3.907463494061e+03 
       1.362663257742e-01       3.772178446515e+03 
       1.394930361833e-01       3.625702106999e+03 
       1.427197727129e-01       3.471165866821e+03 
       1.459465276832e-01       3.312903290135e+03 
       1.491732962727e-01       3.155735847419e+03 
       1.524000754071e-01       3.004361765897e+03 
       1.556268630836e-01       2.862831216166e+03 
       1.588536579605e-01       2.734188933903e+03 
       1.620804591066e-01       2.620299211905e+03 
       1.653072658490e-01       2.521798593494e+03 
       1.685340776791e-01       2.438182866458e+03 
       1.717608941955e-01       2.367972073826e+03 
       1.749877150684e-01       2.308956554661e+03 
       1.782145400177e-01       2.258441025353e+03 
       1.814413687986e-01       2.213521132670e+03 
       1.846682011934e-01       2.171666395889e+03 
       1.878950370048e-01       2.130307984326e+03 
       1.911218760527e-01       2.086924446484e+03 
       1.943487181711e-01       2.040025141867e+03 
       1.975755632062e-01       1.988867388324e+03 
       2.008024110152e-01       1.933487439893e+03 
       2.040292614644e-01       1.874597360842e+03 
       2.072561144293e-01       1.813417910595e+03 
       2.104829697929e-01       1.751439184664e+03 
       2.137098274455e-01       1.690207517503e+03 
       2.169366872843e-01       1.631128139652e+03 
       2.201635492122e-01       1.575380596286e+03 
       2.233904131382e-01       1.523810243496e+03 
       2.266172789761e-01       1.476945169519e+03 
       2.298441466449e-01       1.434988053652e+03 
       2.330710160680e-01       1.397820635036e+03 
       2.362978871731e-01       1.365051532696e+03 
       2.395247598917e-01       1.336028642868e+03 
       2.427516341591e-01       1.309935911318e+03 
       2.459785099138e-01       1.285854074676e+03 
       2.492053870978e-01       1.262879159553e+03 
       2.524322656559e-01       1.240184926018e+03 
       2.556591455357e-01       1.217119661783e+03 
       2.588860266876e-01       1.193227335644e+03 
       2.621129090641e-01       1.168264283255e+03 
       2.653397926205e-01       1.142195015221e+03 
       2.685666773138e-01       1.115160142758e+03 
       2.717935631034e-01       1.087447813247e+03 
       2.750204499505e-01       1.059458741103e+03 
       2.782473378180e-01       1.031650075893e+03 
       2.814742266707e-01       1.004501903965e+03 
       2.847011164749e-01       9.784508484580e+02 
       2.879280071983e-01       9.538346267727e+02 
       2.911548988104e-01       9.308780291904e+02 
       2.943817912816e-01       9.096691325760e+02 
       2.976086845839e-01       8.901686839084e+02 
       3.008355786904e-01       8.722380235168e+02 
       3.040624735754e-01       8.556669576046e+02 
       3.072893692141e-01       8.402045144145e+02 
       3.105162655831e-01       8.255783864153e+02 
       3.137431626596e-01       8.115116288836e+02 
       3.169700604220e-01       7.977519167659e+02 
       3.201969588493e-01       7.840814611162e+02 
       3.234238579216e-01       7.703184363946e+02 
       3.266507576197e-01       7.563613302206e+02 
       3.298776579251e-01       7.421733432466e+02 
       3.331045588201e-01       7.277859381000e+02 
       3.363314602876e-01       7.132858081781e+02 
       3.395583623113e-01       6.987944231318e+02 
       3.427852648753e-01       6.844507300753e+02 
       3.460121679645e-01       6.703820265433e+02 
       3.492390715643e-01       6.567066512278e+02 
       3.524659756605e-01       6.435352211429e+02 
       3.556928802395e-01       6.309286075589e+02 
       3.589197852884e-01       6.189400403725e+02 
       3.621466907945e-01       6.075832639889e+02 
       3.653735967456e-01       5.968412598735e+02 
       3.686005031299e-01       5.866616607694e+02 
       3.718274099363e-01       5.769615025571e+02 
       3.750543171536e-01       5.676470670678e+02 
       3.782812247714e-01       5.586233744052e+02 
       3.815081327794e-01       5.498010034293e+02 
       3.847350411679e-01       5.411149503823e+02 
       3.879619499272e-01       5.325105294624e+02 
       3.911888590481e-01       5.239556069445e+02 
       3.944157685218e-01       5.154373579003e+02 
       3.976426783395e-01       5.069504498503e+02 
       4.008695884930e-01       4.985083018324e+02 
       4.040964989743e-01       4.901270431254e+02 
       4.073234097754e-01       4.818420173334e+02 
       4.105503208887e-01       4.736925303046e+02 
       4.137772323071e-01       4.657161003785e+02 
       4.170041440233e-01       4.579471061573e+02 
       4.202310560305e-01       4.504088353040e+02 
       4.234579683219e-01       4.431102343475e+02 
       4.266848808912e-01       4.360565189570e+02 
       4.299117937320e-01       4.292381800521e+02 
       4.331387068383e-01       4.226459537008e+02 
       4.363656202041e-01       4.162653326858e+02 
       4.395925338237e-01       4.100831153889e+02 
       4.428194476915e-01       4.040794085565e+02 
       4.460463618021e-01       3.982276681457e+02 
       4.492732761504e-01       3.925012281038e+02 
       4.525001907311e-01       3.868785811732e+02 
       4.557271055393e-01       3.813373494878e+02 
       4.589540205702e-01       3.758605661100e+02 
       4.621809358191e-01       3.704457111019e+02 
